date,erc
2005-01-01,0.0
2005-01-02,0.5
2005-01-03,0.5
2005-01-04,0.9
2005-01-05,1.2
2005-01-06,1.2
2005-01-07,1.6
2005-01-08,1.3
2005-01-09,1.6
2005-01-10,4.5
2005-01-11,4.8
2005-01-12,6.5
2005-01-13,4.9
2005-01-14,6.1
2005-01-15,6.8
2005-01-16,7.3
2005-01-17,7.5
2005-01-18,7.6
2005-01-19,5.4
2005-01-20,8.8
2005-01-21,9.9
2005-01-22,9.9
2005-01-23,10.9
2005-01-24,11.8
2005-01-25,12.0
2005-01-26,11.6
2005-01-27,8.7
2005-01-28,5.0
2005-01-29,4.3
2005-01-30,3.8
2005-01-31,3.6
2005-02-01,3.4
2005-02-02,3.2
2005-02-03,3.0
2005-02-04,2.7
2005-02-05,2.5
2005-02-06,2.3
2005-02-07,2.2
2005-02-08,2.0
2005-02-09,1.9
2005-02-10,1.8
2005-02-11,1.7
2005-02-12,1.6
2005-02-13,1.6
2005-02-14,1.5
2005-02-15,1.4
2005-02-16,3.6
2005-02-17,4.5
2005-02-18,4.0
2005-02-19,3.1
2005-02-20,4.4
2005-02-21,5.3
2005-02-22,5.5
2005-02-23,4.8
2005-02-24,4.0
2005-02-25,5.3
2005-02-26,5.9
2005-02-27,6.3
2005-02-28,6.6
2005-03-01,6.6
2005-03-02,7.2
2005-03-03,7.0
2005-03-04,7.5
2005-03-05,7.0
2005-03-06,7.7
2005-03-07,8.1
2005-03-08,8.4
2005-03-09,8.8
2005-03-10,12.2
2005-03-11,13.1
2005-03-12,14.0
2005-03-13,16.2
2005-03-14,13.1
2005-03-15,8.7
2005-03-16,6.1
2005-03-17,5.4
2005-03-18,4.9
2005-03-19,4.7
2005-03-20,4.4
2005-03-21,7.0
2005-03-22,10.4
2005-03-23,10.0
2005-03-24,10.3
2005-03-25,10.1
2005-03-26,7.2
2005-03-27,7.8
2005-03-28,11.9
2005-03-29,12.0
2005-03-30,11.9
2005-03-31,12.8
2005-04-01,12.1
2005-04-02,13.9
2005-04-03,15.0
2005-04-04,19.0
2005-04-05,18.9
2005-04-06,21.3
2005-04-07,23.0
2005-04-08,22.1
