date,erc
2005-01-01,0.3
2005-01-02,1.4
2005-01-03,2.6
2005-01-04,1.2
2005-01-05,0.0
2005-01-06,0.0
2005-01-07,0.0
2005-01-08,0.0
2005-01-09,4.4
2005-01-10,9.5
2005-01-11,11.9
2005-01-12,13.1
2005-01-13,9.2
2005-01-14,1.7
2005-01-15,1.6
2005-01-16,7.2
2005-01-17,12.3
2005-01-18,12.4
2005-01-19,15.6
2005-01-20,17.5
2005-01-21,19.0
2005-01-22,18.9
2005-01-23,22.6
2005-01-24,24.5
2005-01-25,24.3
2005-01-26,24.1
2005-01-27,21.5
2005-01-28,23.1
2005-01-29,23.9
2005-01-30,17.8
2005-01-31,10.3
2005-02-01,9.0
2005-02-02,8.2
2005-02-03,7.6
2005-02-04,7.0
2005-02-05,6.5
2005-02-06,5.9
2005-02-07,5.3
2005-02-08,4.9
2005-02-09,4.5
2005-02-10,4.1
2005-02-11,3.8
2005-02-12,3.5
2005-02-13,14.3
2005-02-14,17.9
2005-02-15,19.0
2005-02-16,13.4
2005-02-17,5.1
2005-02-18,10.0
2005-02-19,11.3
2005-02-20,16.3
2005-02-21,18.9
2005-02-22,19.2
2005-02-23,13.4
2005-02-24,9.6
2005-02-25,6.8
2005-02-26,12.4
2005-02-27,18.6
2005-02-28,20.9
2005-03-01,20.7
2005-03-02,23.2
2005-03-03,21.5
2005-03-04,24.1
2005-03-05,24.1
2005-03-06,24.0
2005-03-07,26.8
2005-03-08,28.8
2005-03-09,22.0
2005-03-10,26.0
2005-03-11,28.4
2005-03-12,28.3
2005-03-13,28.5
2005-03-14,22.2
2005-03-15,13.3
2005-03-16,12.0
2005-03-17,11.0
2005-03-18,10.4
2005-03-19,9.5
2005-03-20,8.6
2005-03-21,7.8
2005-03-22,7.1
2005-03-23,6.5
2005-03-24,5.9
2005-03-25,5.5
2005-03-26,5.0
2005-03-27,4.7
2005-03-28,4.3
2005-03-29,15.8
2005-03-30,14.7
2005-03-31,10.2
2005-04-01,8.6
2005-04-02,5.0
2005-04-03,18.9
2005-04-04,21.7
2005-04-05,18.8
2005-04-06,22.7
2005-04-07,26.7
2005-04-08,28.1
2005-04-09,30.3
2005-04-10,27.2
2005-04-11,18.9
2005-04-12,12.1
2005-04-13,18.4
2005-04-14,26.5
2005-04-15,25.2
2005-04-16,24.1
2005-04-17,27.2
2005-04-18,31.1
2005-04-19,33.9
2005-04-20,36.4
2005-04-21,37.3
2005-04-22,34.5
2005-04-23,35.1
2005-04-24,30.5
2005-04-25,29.2
2005-04-26,28.3
2005-04-27,25.9
2005-04-28,32.4
2005-04-29,29.1
2005-04-30,22.2
2005-05-01,18.4
2005-05-02,15.1
2005-05-03,16.8
2005-05-04,20.8
2005-05-05,28.2
2005-05-06,28.1
2005-05-07,29.7
2005-05-08,31.6
2005-05-09,34.1
2005-05-10,36.8
2005-05-11,38.1
2005-05-12,39.1
2005-05-13,38.8
2005-05-14,34.9
2005-05-15,32.3
2005-05-16,35.8
2005-05-17,37.1
2005-05-18,39.2
2005-05-19,40.9
2005-05-20,43.4
2005-05-21,45.7
2005-05-22,43.7
2005-05-23,44.7
2005-05-24,44.2
2005-05-25,38.3
2005-05-26,31.5
2005-05-27,31.4
2005-05-28,31.0
2005-05-29,27.7
2005-05-30,28.0
2005-05-31,24.7
2005-06-01,29.6
2005-06-02,32.4
2005-06-03,31.8
2005-06-04,33.0
2005-06-05,33.9
2005-06-06,37.3
2005-06-07,40.2
2005-06-08,42.5
2005-06-09,43.5
2005-06-10,35.7
2005-06-11,37.3
2005-06-12,33.5
2005-06-13,37.0
2005-06-14,36.7
2005-06-15,36.3
2005-06-16,39.5
2005-06-17,41.3
2005-06-18,44.9
2005-06-19,47.9
2005-06-20,47.2
2005-06-21,45.5
2005-06-22,45.6
2005-06-23,47.6
2005-06-24,47.0
2005-06-25,41.4
2005-06-26,39.1
2005-06-27,44.3
2005-06-28,45.6
2005-06-29,45.9
2005-06-30,45.2
2005-07-01,43.4
2005-07-02,46.1
2005-07-03,48.9
2005-07-04,48.1
2005-07-05,45.7
2005-07-06,48.0
2005-07-07,49.2
2005-07-08,49.3
2005-07-09,50.0
2005-07-10,51.9
2005-07-11,52.5
2005-07-12,52.3
2005-07-13,48.1
2005-07-14,52.2
2005-07-15,51.6
2005-07-16,50.1
2005-07-17,50.9
2005-07-18,44.0
2005-07-19,47.5
2005-07-20,48.0
2005-07-21,49.3
2005-07-22,50.9
2005-07-23,49.8
2005-07-24,47.8
2005-07-25,45.0
2005-07-26,35.8
2005-07-27,33.2
2005-07-28,34.9
2005-07-29,38.6
2005-07-30,42.4
2005-07-31,43.6
2005-08-01,46.1
2005-08-02,47.8
2005-08-03,47.7
2005-08-04,40.0
2005-08-05,30.2
2005-08-06,33.9
2005-08-07,36.2
2005-08-08,39.7
2005-08-09,40.5
2005-08-10,39.7
2005-08-11,33.2
2005-08-12,22.9
2005-08-13,26.0
2005-08-14,21.6
2005-08-15,21.5
2005-08-16,24.2
2005-08-17,27.9
2005-08-18,30.3
2005-08-19,33.4
2005-08-20,32.7
2005-08-21,31.6
2005-08-22,31.7
2005-08-23,32.0
2005-08-24,34.4
2005-08-25,36.8
2005-08-26,36.7
2005-08-27,38.6
2005-08-28,39.4
2005-08-29,41.8
2005-08-30,44.3
2005-08-31,43.6
2005-09-01,42.2
2005-09-02,42.1
2005-09-03,43.3
2005-09-04,42.5
2005-09-05,42.3
2005-09-06,38.8
2005-09-07,35.5
2005-09-08,35.2
2005-09-09,34.5
2005-09-10,35.7
2005-09-11,38.1
2005-09-12,39.2
2005-09-13,40.6
2005-09-14,39.0
2005-09-15,41.9
2005-09-16,43.8
2005-09-17,46.7
2005-09-18,49.0
2005-09-19,50.3
2005-09-20,49.6
2005-09-21,49.9
2005-09-22,45.6
2005-09-23,39.4
2005-09-24,42.2
2005-09-25,45.0
2005-09-26,45.4
2005-09-27,44.8
2005-09-28,33.4
2005-09-29,34.3
2005-09-30,36.9
2005-10-01,38.5
2005-10-02,39.4
2005-10-03,39.4
2005-10-04,36.4
