date,erc
2005-01-01,72.1
2005-01-02,47.6
2005-01-03,30.3
2005-01-04,2.8
2005-01-05,2.8
2005-01-06,0.0
2005-01-07,0.0
2005-01-08,19.0
2005-01-09,68.9
2005-01-10,61.3
2005-01-11,46.0
2005-01-12,54.8
2005-01-13,6.5
2005-01-14,2.3
2005-01-15,3.2
2005-01-16,3.0
2005-01-17,2.9
2005-01-18,42.7
2005-01-19,65.9
2005-01-20,82.2
2005-01-21,81.6
2005-01-22,54.9
2005-01-23,76.6
2005-01-24,83.6
2005-01-25,79.2
2005-01-26,66.4
2005-01-27,45.1
2005-01-28,10.4
2005-01-29,11.1
2005-01-30,2.5
2005-01-31,0.0
2005-02-01,0.0
2005-02-02,31.1
2005-02-03,67.7
2005-02-04,77.0
2005-02-05,66.8
2005-02-06,21.6
2005-02-07,7.3
2005-02-08,4.6
2005-02-09,31.1
2005-02-10,43.2
2005-02-11,65.1
2005-02-12,51.1
2005-02-13,75.4
2005-02-14,83.3
2005-02-15,63.5
2005-02-16,24.8
2005-02-17,3.7
2005-02-18,25.0
2005-02-19,73.7
2005-02-20,78.4
2005-02-21,81.7
2005-02-22,60.6
2005-02-23,6.4
2005-02-24,63.2
2005-02-25,71.3
2005-02-26,70.4
2005-02-27,58.0
2005-02-28,70.2
2005-03-01,73.6
2005-03-02,77.3
2005-03-03,80.0
2005-03-04,86.1
2005-03-05,81.5
2005-03-06,80.2
2005-03-07,76.9
2005-03-08,72.3
2005-03-09,75.5
2005-03-10,80.8
2005-03-11,86.6
2005-03-12,94.4
2005-03-13,52.0
2005-03-14,35.8
2005-03-15,3.3
2005-03-16,22.3
2005-03-17,51.8
2005-03-18,69.0
2005-03-19,70.5
2005-03-20,77.8
2005-03-21,51.1
2005-03-22,57.2
2005-03-23,60.2
2005-03-24,59.3
2005-03-25,24.8
2005-03-26,12.8
2005-03-27,22.6
2005-03-28,80.3
2005-03-29,81.6
2005-03-30,71.9
2005-03-31,17.6
2005-04-01,49.8
2005-04-02,56.9
2005-04-03,81.9
2005-04-04,90.0
2005-04-05,65.5
2005-04-06,68.6
2005-04-07,79.7
2005-04-08,81.5
2005-04-09,91.2
2005-04-10,73.8
2005-04-11,41.0
2005-04-12,78.3
2005-04-13,74.9
2005-04-14,72.5
2005-04-15,62.9
2005-04-16,58.0
2005-04-17,59.9
2005-04-18,79.2
2005-04-19,83.2
2005-04-20,83.6
2005-04-21,76.1
2005-04-22,65.1
2005-04-23,61.8
2005-04-24,47.8
2005-04-25,27.5
2005-04-26,59.9
2005-04-27,58.1
2005-04-28,39.1
2005-04-29,23.7
2005-04-30,52.6
2005-05-01,10.7
2005-05-02,27.2
2005-05-03,33.1
2005-05-04,51.9
2005-05-05,59.1
2005-05-06,55.1
2005-05-07,67.9
2005-05-08,70.3
2005-05-09,68.4
2005-05-10,78.3
2005-05-11,72.1
2005-05-12,68.2
2005-05-13,60.5
2005-05-14,62.4
2005-05-15,47.5
2005-05-16,67.0
2005-05-17,75.3
2005-05-18,73.5
2005-05-19,75.0
2005-05-20,76.5
2005-05-21,83.7
2005-05-22,61.4
2005-05-23,68.7
2005-05-24,71.2
2005-05-25,37.1
